"date","_5SP151040-open","_5SP151040-high","_5SP151040-low","_5SP151040-close","_5SP151040-vol"
"12/19/2016","103.27","104.07","102.61","103.57","0"
"12/20/2016","103","106.29","102.93","105.93","0"
"12/21/2016","106.33","106.72","104.87","105.56","0"
"12/22/2016","105.43","106.23","104.35","104.51","0"
"12/23/2016","104.15","105.51","104.12","105.51","0"
"12/27/2016","106.17","107.45","105.53","105.76","0"
"12/28/2016","106.56","106.58","104.68","104.9","0"
"12/29/2016","105.5","107.26","105.27","107.26","0"
"12/30/2016","107.73","108.42","104.34","104.44","0"
"1/3/2017","105.45","107.2","105.19","106.51","0"
"1/4/2017","107.57","110.44","106.81","110.44","0"
"1/5/2017","110.75","114.05","110.75","111.37","0"
"1/6/2017","111.05","112.39","109.89","110.49","0"
"1/9/2017","111.32","111.6","109.31","109.48","0"
"1/10/2017","111.89","112.8","111.21","112.3","0"
"1/11/2017","112.1","112.35","110.59","112.33","0"
"1/12/2017","112.34","112.4","110","110.61","0"
"1/13/2017","110.15","110.71","108.09","110.32","0"
"1/17/2017","110.62","111.9","110.27","110.5","0"
"1/18/2017","110.63","113.04","110.57","112.45","0"
"1/19/2017","111.45","112.34","110.23","110.77","0"
"1/20/2017","111.23","112.28","111.07","112.02","0"
"1/23/2017","112.63","113.12","111.57","112.82","0"
"1/24/2017","114.62","117.16","114.51","116.7","0"
"1/25/2017","114.28","114.9","111.64","113.55","0"
"1/26/2017","112","112.83","110.71","111.77","0"
"1/27/2017","112.23","113.95","111.75","113.45","0"
"1/30/2017","112.76","113.49","111.98","113.2","0"
"1/31/2017","114.81","114.96","112.88","114.29","0"
"2/1/2017","114.02","115","111.65","113.61","0"
"2/2/2017","114.33","114.87","113.49","114.72","0"
"2/3/2017","113.77","114.35","111.85","112.32","0"
"2/6/2017","113.31","114.25","112.53","114.25","0"
"2/7/2017","114.36","114.42","111.93","112.29","0"
"2/8/2017","112.02","113.58","111.65","113.23","0"
"2/9/2017","113.52","114.1","112.3","113.86","0"
"2/10/2017","116.46","117.02","114.93","115.36","0"
"2/13/2017","116.46","117.66","116.46","117.08","0"
"2/14/2017","116.78","116.86","114.91","116.33","0"
"2/15/2017","115.77","116.6","115.08","115.4","0"
"2/16/2017","115.73","116.13","114.38","115.03","0"
"2/17/2017","115.41","115.41","113.61","114.23","0"
"2/21/2017","113.14","113.28","112.24","113.05","0"
"2/22/2017","111.25","111.72","108.82","109.82","0"
"2/23/2017","111.03","111.57","107.44","107.61","0"
"2/24/2017","106.94","109.02","106.94","107.23","0"
"2/27/2017","107.44","109.68","105.91","106.23","0"
"2/28/2017","106.6","108.11","106.07","106.79","0"
"3/1/2017","108.12","109.7","107.46","109.34","0"
"3/2/2017","108.38","108.75","105.83","105.95","0"
"3/3/2017","106.13","106.43","105.13","106.15","0"
"3/6/2017","104.59","104.89","103.41","104.42","0"
"3/7/2017","104.49","104.49","102.26","102.71","0"
"3/8/2017","102.3","103.5","101.6","102.01","0"
"3/9/2017","101.18","102.53","100.78","101.35","0"
"3/10/2017","101.96","102.89","100.97","101.67","0"
"3/13/2017","102.02","103.09","101.65","102.29","0"
"3/14/2017","101.6","102.01","100.55","100.94","0"
"3/15/2017","101.71","106.14","101.54","105.89","0"
"3/16/2017","108.11","108.33","104.93","105.1","0"
"3/17/2017","105.64","107.04","104.62","105.05","0"
"3/20/2017","104.88","105.82","104.07","105.55","0"
"3/21/2017","106.58","106.93","103.6","103.72","0"
"3/22/2017","104.38","105.69","103.68","104.75","0"
"3/23/2017","104.85","105.42","102.99","103.92","0"
"3/24/2017","104.01","104.18","102.46","102.81","0"
"3/27/2017","101.12","101.83","99.98","101.57","0"
"3/28/2017","101.61","102.75","100.48","101.99","0"
"3/29/2017","101.7","102.92","101.33","102.3","0"
"3/30/2017","102.41","104.71","102.14","103.73","0"
