"date","_NDXD-open","_NDXD-high","_NDXD-low","_NDXD-close","_NDXD-vol"
"7/14/2017","5815.04","5844.8","5799.85","5838.08","160812"
"7/17/2017","5845.82","5860.64","5830.25","5839.74","155803"
"7/18/2017","5832.92","5880.55","5818.2","5880.1","176240"
"7/19/2017","5898.4","5922.37","5895.54","5916.16","186291"
"7/20/2017","5929.58","5932.61","5896.61","5921.22","181888"
"7/21/2017","5905.6","5921.53","5890.25","5921.53","179710"
"7/24/2017","5920.93","5950.58","5912.74","5941.37","173552"
"7/25/2017","5927.1","5945.06","5916.29","5930.65","192523"
"7/26/2017","5944.16","5954.38","5939.17","5950.73","198804"
"7/27/2017","5994.02","5995.77","5847.05","5917.03","248356"
"7/28/2017","5883.7","5918.31","5868.92","5908.92","186077"
"7/31/2017","5928.68","5932.37","5871.79","5880.33","189171"
"8/1/2017","5900.64","5905.29","5880.45","5895.17","181259"
"8/2/2017","5934.07","5936.15","5859.62","5914.23","210413"
"8/3/2017","5915.73","5917.47","5879.72","5891.2","211344"
"8/4/2017","5899.69","5912.56","5877.06","5899.91","190717"
"8/7/2017","5909.45","5936.79","5903.75","5934.73","170155"
"8/8/2017","5922.64","5972.93","5910.5","5926.35","191467"
"8/9/2017","5879.55","5920.96","5866.17","5919.39","203376"
"8/10/2017","5880.14","5887.27","5783.36","5788.19","220470"
"8/11/2017","5792.32","5844.61","5785.26","5831.53","179485"
"8/14/2017","5878.64","5916.33","5878","5908.17","169856"
"8/15/2017","5917.29","5919.75","5893.85","5907.73","158006"
"8/16/2017","5920.68","5944.98","5899.56","5917.42","180473"
"8/17/2017","5896.32","5903.87","5796.32","5796.32","204122"
"8/18/2017","5803.9","5831.08","5770.14","5790.91","196459"
"8/21/2017","5791.04","5804.3","5750.5","5786.54","157607"
"8/22/2017","5817.29","5879","5817.02","5873.33","159770"
"8/23/2017","5842.16","5864.78","5840.71","5851.78","153322"
"8/24/2017","5863.99","5871.87","5802.77","5834.44","161678"
"8/25/2017","5854.31","5870.47","5815.6","5822.53","144290"
"8/28/2017","5839.27","5852.8","5821.87","5838.08","155869"
"8/29/2017","5785.29","5871.79","5785.22","5862.14","163764"
"8/30/2017","5870.88","5940.57","5865.34","5932.9","171207"
"8/31/2017","5948.74","5995.45","5945.95","5988.6","188571"
"9/1/2017","6001.82","6009.61","5972.27","5987.9","148804"
"9/5/2017","5966.64","5980.91","5890.25","5932.73","188695"
"9/6/2017","5949.54","5964.38","5909.92","5951.13","190603"
"9/7/2017","5960.44","5980.15","5943.89","5964.31","199838"
"9/8/2017","5957.19","5958.81","5907.96","5913.37","178556"
"9/11/2017","5962.35","5990.87","5960.87","5980.53","181930"
"9/12/2017","5998.75","6002.97","5968.09","5995.64","174509"
"9/13/2017","5982.85","6004.47","5974.88","6004.38","194209"
"9/14/2017","5981.85","5997.23","5965.06","5968.82","180917"
"9/15/2017","5965.66","6009.45","5957.85","5988","282111"
"9/18/2017","5997.51","6012.95","5963.17","5981.12","187444"
"9/19/2017","5991.93","5998.24","5971.17","5991.08","180971"
"9/20/2017","5987.72","5994.53","5927.7","5973.61","205252"
"9/21/2017","5965.6","5965.6","5915.74","5934.91","177279"
"9/22/2017","5912.2","5937.59","5911.48","5932.32","163910"
"9/25/2017","5904.06","5908.57","5839.89","5867.35","205041"
"9/26/2017","5893.18","5908.47","5862.99","5881.34","192642"
"9/27/2017","5912.96","5957.75","5900.35","5937.79","205372"
"9/28/2017","5920.65","5939.22","5908.62","5933.07","182857"
"9/29/2017","5941.78","5980.22","5930.82","5979.3","196772"
"10/2/2017","5988.96","6005.2","5955.83","5981.92","197703"
"10/3/2017","5986.85","5999.19","5976.65","5995.06","196932"
"10/4/2017","5983.31","6009.81","5976.12","5998.84","193844"
"10/5/2017","6018.27","6059.21","6014.77","6057.14","187567"
"10/6/2017","6037.44","6064.67","6037.02","6064.57","174247"
"10/9/2017","6071.96","6078.81","6051.33","6058.53","149062"
"10/10/2017","6078.27","6084.14","6036.72","6063.52","179940"
"10/11/2017","6062.73","6082.25","6052.44","6081.25","183036"
"10/12/2017","6072.21","6093.76","6063.47","6069.99","200047"
"10/13/2017","6094.72","6100.06","6087.03","6092.45","175615"
"10/16/2017","6108.66","6115.53","6095.63","6114.53","162948"
"10/17/2017","6111.32","6122.82","6103.66","6122.61","164724"
"10/18/2017","6128.91","6129.49","6106.85","6114.35","173403"
"10/19/2017","6074.28","6092.87","6051.47","6092.62","182386"
"10/20/2017","6114.46","6122.56","6102.16","6108.82","179481"
"10/23/2017","6122.24","6122.24","6061.08","6067.83","180932"
"10/24/2017","6078.02","6090.89","6057.69","6080.22","184264"
"10/25/2017","6069.35","6087.58","6011.24","6055.04","219072"
"10/26/2017","6056.05","6066.61","6035.96","6037.87","210821"
"10/27/2017","6138.23","6223.52","6129.8","6213.47","240360"
"10/30/2017","6209.8","6250.85","6202.53","6227.59","201364"
"10/31/2017","6241.88","6258.42","6229.15","6248.56","204389"
"11/1/2017","6274.26","6276.67","6224.58","6248.65","205686"
"11/2/2017","6238.29","6243.74","6194.58","6236.39","226294"
"11/3/2017","6266.19","6297.62","6237.65","6295.58","219501"
"11/6/2017","6292.15","6318.58","6291.84","6313.61","216647"
"11/7/2017","6314.69","6328.58","6299.53","6320.78","220527"
"11/8/2017","6319.03","6346.98","6308.62","6345.81","211099"
"11/9/2017","6295.29","6315.16","6248.29","6312.21","223518"
"11/10/2017","6297.15","6313.17","6284.22","6309.07","197397"
"11/13/2017","6286.01","6325.18","6285.97","6316.18","197379"
"11/14/2017","6293.33","6300.46","6263.77","6293.64","198383"
"11/15/2017","6261.27","6276.8","6227.99","6258.36","190866"
"11/16/2017","6293.46","6352.47","6293.46","6339.14","200292"
"11/17/2017","6343.64","6345.56","6308.48","6314.51","198809"
"11/20/2017","6319.57","6324.59","6301.88","6308.61","180088"
"11/21/2017","6336.91","6380.07","6336.26","6378.63","188355"
"11/22/2017","6384.13","6391.16","6371.75","6386.12","158820"
"11/24/2017","6393.33","6410.77","6389.4","6409.29","84852"
"11/27/2017","6409.52","6420.21","6392.01","6405.97","177340"
"11/28/2017","6419.48","6426.04","6385.32","6422.56","200041"
"11/29/2017","6412.69","6412.69","6279.37","6311.38","245286"
"11/30/2017","6337.34","6374.19","6321.43","6365.56","245858"
"12/1/2017","6325.61","6365.3","6244.84","6337.87","229357"
"12/4/2017","6380.68","6380.77","6256.81","6263.7","242657"
"12/5/2017","6242.47","6337.06","6235.77","6265.11","208354"
"12/6/2017","6243.72","6304.1","6234.22","6293.05","189185"
"12/7/2017","6300.64","6333.29","6290.65","6316.28","193412"
"12/8/2017","6364.6","6377.55","6335.23","6344.57","180604"
"12/11/2017","6351.24","6394.43","6347.91","6393.89","181897"
"12/12/2017","6389.47","6403.5","6371.69","6383.65","186156"
"12/13/2017","6405.41","6416.83","6388.41","6394.67","191956"
"12/14/2017","6407.26","6423.68","6386.25","6389.91","198520"
"12/15/2017","6405.15","6470.92","6405.03","6466.32","351042"
"12/18/2017","6504.89","6522.7","6495.18","6513.27","214436"
"12/19/2017","6505.36","6510.87","6462.79","6480.67","207106"
"12/20/2017","6504.55","6504.55","6447.93","6472.48","187455"
"12/21/2017","6481.08","6501.52","6467.78","6472.69","181562"
"12/22/2017","6462.55","6467.83","6449","6465.17","153925"
"12/26/2017","6427.32","6438.24","6407.99","6433.16","130434"
"12/27/2017","6437.06","6448.94","6425.92","6435.15","140954"
"12/28/2017","6449.53","6452.07","6432.68","6441.42","131132"
"12/29/2017","6439.91","6442.53","6396.42","6396.42","157173"
"1/2/2018","6431.59","6513.02","6417.75","6511.34","191493"
"1/3/2018","6520.03","6579.25","6519.26","6575.8","216678"
"1/4/2018","6595.75","6603.17","6576.92","6584.58","209889"
"1/5/2018","6613.13","6654.98","6605.03","6653.29","202090"
"1/8/2018","6651.68","6680.32","6649.2","6676.63","205143"
"1/9/2018","6692.87","6696.12","6658.27","6677.94","1425090"
"1/10/2018","6640.66","6663.51","6619.35","6662.66","212274"
"1/11/2018","6675.69","6708.49","6664.74","6708.49","200974"
"1/12/2018","6699.32","6763.98","6695.52","6758.54","197620"
"1/16/2018","6807.85","6835.79","6719.11","6737.14","237714"
"1/17/2018","6767.85","6820.04","6738.45","6810.28","223807"
"1/18/2018","6804.59","6826.79","6784.72","6811.38","202622"
"1/19/2018","6829.04","6843.24","6801.59","6834.33","199727"
"1/22/2018","6829.55","6906.28","6822.85","6906.28","210607"
"1/23/2018","6928.27","6969.4","6926.37","6963.46","211984"
"1/24/2018","6975.38","6992.91","6880.68","6919.35","227701"
"1/25/2018","6965.01","6967.6","6894.84","6916.3","206145"
"1/26/2018","6956.66","7022.97","6941.48","7022.97","205901"
"1/29/2018","7000.68","7020.64","6974.7","6988.32","210338"
"1/30/2018","6910.39","6958.79","6894.63","6930.73","216398"
"1/31/2018","6972.81","6983.61","6915.48","6949.99","240754"
"2/1/2018","6910.57","6970.77","6879.02","6901.5","229168"
"2/2/2018","6866.38","6889.07","6756.54","6760.29","258777"
"2/5/2018","6687.47","6807.96","6495.39","6495.92","310687"
"2/6/2018","6378.6","6673.41","6370.48","6665.98","313103"
"2/7/2018","6632.98","6716.25","6581.38","6582.02","236697"
"2/8/2018","6595.81","6606.05","6304.18","6306.1","270770"
"2/9/2018","6395.16","6453.43","6164.43","6412.68","315599"
"2/12/2018","6477.04","6565.28","6424.3","6523.85","224042"
"2/13/2018","6482.77","6567.62","6478.41","6553.86","181667"
"2/14/2018","6523.26","6684.15","6520.39","6675.03","221146"
"2/15/2018","6734.34","6795.92","6665.92","6794.92","211070"
"2/16/2018","6778.28","6840.6","6758.51","6770.66","201983"
"2/20/2018","6742.15","6838","6740.48","6779.69","191117"
"2/21/2018","6808.6","6879.47","6759.22","6759.26","194601"
"2/22/2018","6793.08","6826.01","6744.05","6761.85","191190"
"2/23/2018","6816.43","6897.53","6789.03","6896.6","187946"
"2/26/2018","6933.82","6989.36","6927.46","6989.1","186661"
"2/27/2018","6984.83","7003.13","6900.35","6900.35","215585"
"2/28/2018","6945.2","6964.16","6854.42","6854.42","237388"
"3/1/2018","6862.94","6892.38","6687.44","6750.54","248904"
"3/2/2018","6661.91","6820.37","6645.03","6811.04","228732"
"3/5/2018","6777.63","6901.63","6753.83","6881.28","206635"
"3/6/2018","6919.79","6937.03","6872.06","6913.02","211257"
"3/7/2018","6855.57","6935.48","6850.91","6929.39","219223"
"3/8/2018","6955.85","6971","6931.35","6966.43","227211"
"3/9/2018","7014.84","7101.31","7007.3","7101.18","230293"
"3/12/2018","7122.47","7156.25","7108.04","7131.12","229444"
"3/13/2018","7172.25","7186.09","7025.83","7046.51","244883"
"3/14/2018","7077.85","7084.07","7012.57","7040.98","210445"
"3/15/2018","7050.66","7075.55","7010.01","7030.97","199157"
"3/16/2018","7058.12","7061.67","7011.69","7019.95","304699"
"3/19/2018","6945.97","6949.02","6806.16","6864.88","232443"
"3/20/2018","6871.09","6902.23","6845.85","6885.92","196769"
"3/21/2018","6863.29","6930.7","6828.88","6853.45","198839"
"3/22/2018","6763.94","6809.94","6679.35","6682.26","234716"
"3/23/2018","6683.19","6708.58","6507.84","6508.09","239041"
"3/26/2018","6644.4","6760.65","6538.79","6753.83","232606"
"3/27/2018","6791.39","6793.5","6479.56","6529.84","232599"
"3/28/2018","6488.02","6559.88","6410.04","6460.81","250867"
"3/29/2018","6493.51","6640.76","6435.67","6581.13","250450"
"4/2/2018","6528.23","6560.96","6322.6","6390.84","239473"
"4/3/2018","6448.05","6485.27","6343.9","6458.83","232851"
"4/4/2018","6326.54","6578.56","6326.54","6560.06","225407"
"4/5/2018","6619.22","6632.21","6550.28","6594.84","212466"
"4/6/2018","6514.48","6587.36","6402.03","6433.21","235054"
"4/9/2018","6488.48","6604.26","6466.04","6472.34","208090"
"4/10/2018","6585.53","6639.97","6534.89","6615.87","223877"
"4/11/2018","6578.84","6650.29","6574.88","6583.44","185212"
"4/12/2018","6627.32","6682.69","6618.81","6656.26","202111"
"4/13/2018","6696.02","6703.31","6598.34","6628.34","174364"
"4/16/2018","6675.92","6699.76","6633.08","6675.18","179595"
"4/17/2018","6738.65","6834.31","6729.79","6816.37","191323"
