,Date,Open,High,Low,Close,Adj Close,Volume
72,"Nov 09, 2022",101.72,104.90,100.74,101.47,101.47,"107,677,300"
73,"Nov 08, 2022",95.92,97.80,94.79,96.47,96.47,"52,088,300"
74,"Nov 07, 2022",94.78,96.88,93.10,96.72,96.72,"81,987,300"
75,"Nov 04, 2022",90.35,91.39,88.09,90.79,90.79,"55,638,100"
76,"Nov 03, 2022",90.08,90.46,88.41,88.91,88.91,"60,664,000"
77,"Nov 02, 2022",94.21,95.20,90.48,90.54,90.54,"71,821,100"
78,"Nov 01, 2022",94.33,97.49,93.55,95.20,95.20,"110,189,600"
79,"Oct 31, 2022",98.22,99.32,92.60,93.16,93.16,"121,361,400"
80,"Oct 28, 2022",99.58,100.85,97.51,99.20,99.20,"95,928,300"
81,"Oct 27, 2022",97.98,102.50,96.38,97.94,97.94,"232,316,600"
82,"Oct 26, 2022",131.68,135.55,128.53,129.82,129.82,"82,791,500"
83,"Oct 25, 2022",130.88,138.35,130.59,137.51,137.51,"38,433,200"
84,"Oct 24, 2022",127.25,133.48,124.57,129.72,129.72,"63,563,400"
85,"Oct 21, 2022",126.31,130.12,125.44,130.01,130.01,"46,348,600"
86,"Oct 20, 2022",132.93,136.77,131.31,131.53,131.53,"26,356,300"
87,"Oct 19, 2022",132.89,137.00,132.22,133.23,133.23,"30,691,000"
88,"Oct 18, 2022",137.09,137.84,131.40,132.80,132.80,"25,445,000"
89,"Oct 17, 2022",130.30,134.79,130.18,134.04,134.04,"29,612,200"
90,"Oct 14, 2022",131.00,131.79,126.52,126.76,126.76,"23,559,400"
91,"Oct 13, 2022",123.53,131.14,122.53,130.29,130.29,"34,325,700"
92,"Oct 12, 2022",128.32,129.67,126.25,127.50,127.50,"34,605,200"
93,"Oct 11, 2022",131.62,132.66,126.99,128.54,128.54,"38,481,400"
94,"Oct 10, 2022",133.55,136.11,131.87,133.79,133.79,"24,024,000"
95,"Oct 07, 2022",136.76,138.29,132.44,133.45,133.45,"33,214,800"
96,"Oct 06, 2022",137.72,141.45,136.60,139.07,139.07,"36,231,100"
97,"Oct 05, 2022",138.24,140.21,134.78,138.98,138.98,"27,979,300"
98,"Oct 04, 2022",140.49,142.39,139.34,140.28,140.28,"34,670,700"
99,"Oct 03, 2022",137.14,139.62,136.10,138.61,138.61,"27,723,100"
100,"Sep 30, 2022",136.05,140.99,135.50,135.68,135.68,"33,166,400"
101,"Sep 29, 2022",139.36,139.84,135.20,136.41,136.41,"38,985,400"
102,"Sep 28, 2022",134.62,142.03,134.27,141.61,141.61,"32,658,500"
103,"Sep 27, 2022",137.92,139.42,134.12,134.40,134.40,"30,826,500"
104,"Sep 26, 2022",140.12,142.24,136.19,136.37,136.37,"30,497,000"
105,"Sep 23, 2022",141.42,142.62,138.89,140.41,140.41,"31,710,700"
106,"Sep 22, 2022",141.55,144.58,140.87,142.82,142.82,"34,418,500"
107,"Sep 21, 2022",146.39,149.60,142.00,142.12,142.12,"38,338,600"
108,"Sep 20, 2022",145.78,148.84,145.22,146.09,146.09,"23,217,400"
109,"Sep 19, 2022",145.24,148.58,145.10,148.02,148.02,"22,169,500"
110,"Sep 16, 2022",148.05,148.58,144.29,146.29,146.29,"40,122,800"
111,"Sep 15, 2022",149.80,154.20,148.70,149.55,149.55,"34,606,300"
